Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C9",0402,8,1uF,
C10,0603,1,4.7uF,
C11,0603,1,10uF,
C12,0402,1,22nF,
C8,0402,1,0.1uF,
"FB1, FB2",0603,2,BLM18AG601SN1,C19330
"FL1, FL2, FL3, FL4, FL5",DLM0NSM900HY2D,5,DLM0NSM900HY2D,C1857796
J1,HRS_DF37NC-30DS-0.4V_51,1,DF37NC-30DS-0.4V(51),C424634
J2,FH52-24S-0.5SH,1,FH52-24S-0.5SH,C5378714
L1,1008,1,2.2uH,C5832372
R1,0402,1,22,
R3,0402,1,5.1k,
U1,SOT-23-5,1,RT9193-18GB,C27416
U2,SOT25,1,AP7331-28WG,C460376
U3,TSOT-23-5,1,LM3671MF-1.2/NOPB,C2650333
X1,SG-8101CG,1,SG-8101CG 24.000000MHz,C390546
