Designator,Mid X,Mid Y,Rotation,Layer
C1,11.4,-1.8,0.0,bottom
C10,1.2,-10.3,90.0,bottom
C11,7.95,-9.55,0.0,bottom
C12,19.25,-6.75,0.0,bottom
C2,8.9,-1.75,0.0,bottom
C3,8.3,-4.8,0.0,bottom
C4,21.32,-12.1,0.0,bottom
C5,16.1,-12.1,0.0,bottom
C6,21.25,-6.75,0.0,bottom
C7,16.1,-6.75,0.0,bottom
C8,17.05,-3.55,270.0,bottom
C9,6.8,-18.4,0.0,bottom
FB1,18.3125,-13.7,0.0,bottom
FB2,6.5,-14.65,270.0,bottom
FL1,14.5,-18.0,270.0,bottom
FL2,16.0,-18.0,270.0,bottom
FL3,17.5,-18.0,270.0,bottom
FL4,11.5,-18.0,270.0,bottom
FL5,13.0,-18.0,270.0,bottom
J1,11.0,-5.0,180.0,top
J2,12.5,-22.5,0.0,bottom
L1,8.2,-11.75,180.0,bottom
R1,11.9,-4.55,0.0,bottom
R3,3.3,-18.7,90.0,bottom
U1,20.75,-9.5,270.0,bottom
U2,15.7,-9.5,90.0,bottom
U3,4.1,-10.0,0.0,bottom
X1,14.9,-3.6,270.0,bottom
